UserId,ProductId,Rating
A23Y1S968546M8,B0009OAIQI,2.0
A26OS2VKAGC0RA,B0009ET5O4,2.0
A1GSO2O1NM0S5B,B0002Z0U5I,2.0
AWMIYDDIOUGL1,B0000YV6YK,2.0
A13YUY6XEKZPU2,B0002OMOIA,3.0
AD84I810Z8B8M,B0007CXX82,4.0
A36ZJ62RHBQREU,B0006GDATQ,2.0
A256PTZP0R81YR,B0000531WZ,3.0
AZZQXL8VDCFTV,B000052YM8,4.0
AYH0W727JH395,B0009MHJS0,2.0
A678V8KAX22OT,B000142JDG,2.0
ATTK7J5JWVDYD,B0001TQ9WI,3.0
A28GA7U9ODX6C8,B0001TSJPI,3.0
AF8DCB1G0IHXG,B0007V6PFQ,2.0
A3OQ56DGYSM7NM,B0006ZHK7A,2.0
A2V71AX1O3FISP,B00027CGWQ,2.0
AWKM1HZ3LAJWG,B0001MROQA,3.0
A392KSBXZHI3DG,B0002A65LQ,2.0
AGS5B3APG6VFN,B0009AF6NW,1.0
A3FQ8SYL4BAH4A,B00014GT78,3.0
A3VCC0LYLD7942,B0002IQULI,2.0
AWWBZZXN32I6H,B000052YJX,2.0
A2LY8LLDZBJP0K,B00028O7ZO,2.0
AAQ1SDZPZUX2T,B000248HLI,2.0
A3QXBVPPLHJPZH,B0006Q0HEC,3.0
A3861M96ARVDI5,B0006IJA5C,1.0
A1RJHX15TFV9PK,B0000Y3GF2,2.0
A2F09EWKV3MTO2,B0000Y3CRY,1.0
A3MNLGXHCRR8HP,B00069FJUG,3.0
A13FP11P0G1ZTN,B00092M32C,2.0
A374ZM7127ODCT,B00008CMOR,1.0
A35JW0Z4PQ72TG,B00021DUM2,3.0
AEYUQ841AFPX2,B0000536EK,1.0
A14T66KY8R3NBK,B000127UVY,1.0
A1ISPXMZL1IYSE,B000142FVW,1.0
A3QXBVPPLHJPZH,B00011QVIS,2.0
A24MGMK05ZPVD5,B0000535CH,2.0
A5A9N3HZT14KD,B0007IQMVG,1.0
A1G0Z94JIEHZ4R,B0008ENT8I,2.0
A1CJO2ZBUSEA9W,B00008ZPGA,2.0
A22NH69NM8JHG0,B0000Y3GF2,2.0
A3U197IUON4RP6,B0009FHJRS,2.0
AUL4OUNCTL9UL,B00005REAQ,3.0
A38ZBBQ903TR42,B00007FCQ1,4.0
ADC5EJ1BC8XGS,B000093A0U,3.0
A3NAKNIJ4PO7DV,B00027D6SE,2.0
A210NBBCXC9RHX,9790790961,1.0
A2G4CPAKZRLG6Z,B000142C1A,1.0
A102LFZGD4MJXV,B00092M2X2,2.0
A30KDLI3RW4YED,B00005A43X,1.0
A58OQCOMSTBXT,B0000530ED,1.0
A0870685EP51H0X8LFFU,B00005REAQ,3.0
A18L3BPH38PACC,B00070QF20,1.0
A3VOND2IXC3VET,B00005A43X,1.0
A241655ABS5LY4,B00016KMIS,1.0
A236RK1YGE7MNP,B0006M5566,2.0
A2DDZQEBHHPWTC,B0009PVV4A,2.0
A1UJHRC9T7ATLS,B0009R16O8,1.0
A2KHKH01L4YK5K,B0002Z8QG8,2.0
A1HIFXTGJ9WLRQ,B000066CKS,2.0
AM3DN0ZJHIMDQ,B0007Y5C52,1.0
AG6FUDD24E86C,B00021DPHW,1.0
AVL6QK9V4CVEN,B00066D4M4,1.0
AJH1W7OZFOQOV,B0000531SW,2.0
ADD9A0MAQ26P7,B000052ZSS,3.0
A2A9Y25PY0WXOT,B000052ZTY,1.0
A15DOLIVHFS87Y,B0009HIFRY,2.0
A127FK2DP57F36,B0006IHDQ0,1.0
A4Q7XACX6N7XZ,B0009ML5M6,3.0
ASAH91J4HN8JP,B0006HCE60,2.0
A32RGYKWON0NAU,B0001433OU,3.0
A20ETYDYHBS65I,B0001XLSR0,3.0
